Year,TuitionAndFeesAdjusted,AllCostsAdjusted,TuitionAndFees,AllCosts,Private-TuitionAndFeesAdjusted,Private-AllCostsAdjusted,Private-TuitionAndFees,Private-AllCosts,Public-TuitionAndFeesAdjusted,Public-AllCostsAdjusted,Public-TuitionAndFees,Public-AllCosts
1968,"4,928","11,144",683,"1,545","10,220","16,992","1,417","2,356","2,315","8,243",321,"1,143"
1969,"5,141","11,402",755,"1,674","10,636","17,424","1,562","2,559","2,440","8,430",358,"1,238"
1970,"5,269","11,554",814,"1,784","11,049","17,836","1,706","2,754","2,549","8,586",394,"1,326"
1971,"5,409","11,737",865,"1,878","11,453","18,244","1,832","2,919","2,674","8,781",428,"1,405"
1972,"5,710","12,202",950,"2,031","11,707","18,575","1,948","3,091","3,020","9,335",503,"1,553"
1973,"5,432","11,570",985,"2,097","11,280","17,775","2,045","3,222","2,833","8,805",514,"1,596"
1974,"5,007","10,860","1,008","2,187","10,581","16,907","2,130","3,404","2,545","8,178",512,"1,647"
1975,"4,978","10,922","1,073","2,355","10,627","17,016","2,291","3,669","2,515","8,254",542,"1,780"
1976,"5,340","11,294","1,218","2,577","11,106","17,430","2,534","3,977","2,702","8,481",617,"1,935"
1977,"5,304","11,191","1,291","2,725","11,090","17,414","2,700","4,240","2,689","8,369",655,"2,038"
1978,"5,245","10,955","1,397","2,917","11,108","17,309","2,958","4,609","2,582","8,054",688,"2,145"
1979,"5,013","10,494","1,513","3,167","10,686","16,609","3,225","5,013","2,444","7,712",738,"2,327"
1980,"4,985","10,391","1,679","3,499","10,740","16,610","3,617","5,594","2,387","7,573",804,"2,550"
1981,"5,213","10,799","1,907","3,951","11,243","17,302","4,113","6,330","2,486","7,847",909,"2,871"
1982,"5,607","11,547","2,139","4,406","12,158","18,676","4,639","7,126","2,703","8,376","1,031","3,196"
1983,"5,923","11,997","2,344","4,747","12,871","19,610","5,093","7,759","2,901","8,676","1,148","3,433"
1984,"6,244","12,551","2,567","5,160","13,512","20,552","5,556","8,451","2,986","8,954","1,228","3,682"
1985,"6,582","13,011","2,784","5,504","14,468","21,814","6,121","9,228","3,115","9,121","1,318","3,859"
1986,"7,035","13,792","3,042","5,964","15,398","23,216","6,658","10,039","3,269","9,569","1,414","4,138"
1987,"7,108","13,928","3,201","6,272","15,801","23,669","7,116","10,659","3,414","9,777","1,537","4,403"
1988,"7,370","14,275","3,472","6,725","16,389","24,354","7,722","11,474","3,494","9,930","1,646","4,678"
1989,"7,699","14,609","3,800","7,212","17,010","24,885","8,396","12,284","3,605","10,079","1,780","4,975"
1990,"7,700","14,601","4,009","7,602","17,446","25,426","9,083","13,237","3,627","10,070","1,888","5,243"
1991,"8,162","15,332","4,385","8,238","18,164","26,536","9,759","14,258","3,940","10,596","2,117","5,693"
1992,"8,576","15,806","4,752","8,758","18,578","27,089","10,294","15,009","4,240","10,865","2,349","6,020"
1993,"9,006","16,354","5,119","9,296","19,268","27,978","10,952","15,904","4,462","11,198","2,537","6,365"
1994,"9,220","16,637","5,391","9,728","19,635","28,393","11,481","16,602","4,585","11,407","2,681","6,670"
1995,"9,633","17,199","5,786","10,330","20,384","29,322","12,243","17,612","4,741","11,677","2,848","7,014"
1996,"9,904","17,548","6,118","10,841","20,851","29,853","12,881","18,442","4,836","11,872","2,987","7,334"
1997,"10,100","17,935","6,351","11,277","21,222","30,328","13,344","19,070","4,945","12,204","3,110","7,673"
1998,"10,510","18,585","6,723","11,888","21,844","31,155","13,973","19,929","5,047","12,549","3,229","8,027"
1999,"10,697","18,764","7,040","12,349","22,208","31,509","14,616","20,737","5,088","12,572","3,349","8,274"
2000,"10,830","18,985","7,372","12,922","22,728","32,109","15,470","21,856","5,143","12,713","3,501","8,653"
2001,"11,240","19,689","7,786","13,639","23,401","33,052","16,211","22,896","5,392","13,275","3,735","9,196"
2002,"11,736","20,395","8,309","14,439","23,767","33,600","16,826","23,787","5,715","13,825","4,046","9,787"
2003,"12,480","21,433","9,029","15,505","24,554","34,653","17,763","25,070","6,340","14,755","4,587","10,674"
2004,"13,024","22,154","9,706","16,510","24,964","35,238","18,604","26,260","6,745","15,332","5,027","11,426"
2005,"13,287","22,559","10,279","17,451","24,938","35,332","19,292","27,333","6,917","15,652","5,351","12,108"
2006,"13,774","23,277","10,931","18,473","25,853","36,441","20,517","28,919","7,140","16,128","5,666","12,799"
2007,"13,918","23,529","11,455","19,364","26,035","36,726","21,427","30,226","7,221","16,317","5,943","13,429"
2008,"14,435","24,400","12,046","20,361","26,411","37,427","22,040","31,232","7,564","17,031","6,312","14,212"
2009,"14,722","25,073","12,404","21,126","26,430","37,797","22,269","31,847","7,972","17,845","6,717","15,036"
2010,"15,062","25,682","12,945","22,074","26,385","37,833","22,677","32,517","8,298","18,522","7,132","15,919"
2011,"15,341","26,010","13,572","23,011","26,522","38,067","23,464","33,677","8,719","18,975","7,713","16,787"
2012,"15,677","26,541","14,099","23,871","27,266","38,994","24,523","35,071","8,973","19,429","8,070","17,475"
2013,"15,942","27,041","14,563","24,701","28,143","40,067","25,707","36,599","9,099","19,815","8,312","18,100"
2014,"16,256","27,615","14,957","25,409","29,060","41,287","26,739","37,988","9,285","20,250","8,543","18,632"
2015,"16,564","28,211","15,343","26,132","30,165","42,679","27,942","39,534","9,477","20,732","8,778","19,204"
2016,"16,443","28,189","15,512","26,592","31,246","43,956","29,476","41,465","9,333","20,659","8,804","19,488"
2017,"16,507","28,360","15,923","27,357","31,850","44,714","30,723","43,131","9,368","20,784","9,036","20,049"
2018,"16,571","28,121","16,316","28,121","32,382","45,369","31,883","44,671","9,356","20,919","9,212","20,597"
2019,"16,647","28,775","16,647","28,775","32,769","45,932","32,769","45,932","9,349","21,035","9,349","21,035"